	Title	Location	Company	Salary	Synopsis
13	Chief Data Scientist	Hampton, VA 23665 (Langley Air Force Base area)	TestPros	Estimated $124K - $157K a year	Demonstrate knowledge and ability to deal with challenging data problems such as data mining, feature definition and ML-based data cleaning.
14	Data Engineer, TRADOC G-2	Fort Eustis, VA 23604	Yorktown Systems Group	Estimated $89K - $113K a year	Hands-on experience with enterprise level data ingestion, data discovery & analysis, data cleansing, data transformation, data modelling, and data visualization…
15	Machine Learning Engineer	Newport News, VA	Food Management Search	$73,000 - $118,000 a year	Ability to analyze machine process data sets using deep learning techniques to discover potential algorithms.Responsible for requirement management process and…
16	Machine Learning Engineer	Newport News, VA	Computer Enterprises, Inc. (CEI)	From $73,000 a year	Analyzes machine process data sets using deep learning techniques to discover potential algorithms.Develops real time and post processing algorithms and…
17	Data Science Project Manager	Hampton Roads, VA	University Technical Services	Estimated $117K - $148K a year	Leverage operational experience and data science background to identify and translate data needs in support of the Intelligence, Surveillance Reconnaissance…
18	Machine Learning Engineer	Newport News, VA 23607	Liebherr Mining Equipment Newport News Co.	Estimated $80.4K - $102K a year	Analyzes machine process data sets using deep learning techniques to discover potential algorithms.Develops real time and post processing algorithms and…
19	Machine Learning Engineer	Newport News, VA 23607	Electronic Systems, Inc.	Estimated $82.6K - $105K a year	Analyzes machine process data sets using deep learning techniques to discover potential algorithms.Develops real time and post processing algorithms and…
20	Kubernetes and Docker Cloud Developer	Remote in Norfolk, VA+1 location	Frontier Technology Inc.	Estimated $105K - $133K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
21	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
22	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
23	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
24	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
25	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
26	Machine Learning Engineer	Newport News, VA	Cameron Craig Group	$73,000 - $118,000 a year	Ability to analyze machine process data sets using deep learning techniques to discover potential algorithms.Responsible for requirement management process and…
27	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
28	Senior Credit Risk Data Scientist/Machine Learning Engineer...	United States	Strategic Financial Solutions	None	Identify the data sources, manage quality of the data utilized in models.Maintain model data documentation, reproducibility, and reports.
29	Machine Learning Engineer	Newport News, VA	Oculus Search Partners LLC	$73,000 - $118,000 a year	Ability to analyze machine process data sets using deep learning techniques to discover potential algorithms.Responsible for requirement management process and…
30	DIRECTOR, ADVANCED ANALYTIC DELIVERY - DATA SCIENCE	Virginia Beach, VA	Sentara Healthcare	$47.85 - $66.00 an hour	Automates and hardens complex data processes to remove manual steps and improve efficiency.Analytic Data Engineering & Automation: partners with IT to build…
31	Machine Learning Engineer	Newport News, VA	Volomagis	$73,000 - $118,000 a year	Ability to analyze machine process data sets using deep learning techniques to discover potential algorithms.Responsible for requirement management process and…
32	Machine Learning Engineer	Newport News, VA	Gables Search Group	$73,000 - $118,000 a year	Ability to analyze machine process data sets using deep learning techniques to discover potential algorithms.Responsible for requirement management process and…
33	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
34	Kubernetes and Docker Cloud Developer	Remote in Virginia Beach, VA+1 location	Frontier Technology Inc.	Estimated $105K - $133K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
35	Junior Data Scientist	Hampton, VA	BTAS	Estimated $78.9K - $99.9K a year	Apply data to develop and provide analytical support to all levels of management.Create, develop, and/or apply existing tools and techniques to conduct data…
36	Data Science Project Manager	Hampton Roads, VA	University Technical Services	Estimated $112K - $141K a year	Leverage operational experience and data science background to identify and translate data needs in support of the Intelligence, Surveillance Reconnaissance…
37	Jr. Data Scientist	Fort Eustis, VA 23604+1 location	Yorktown Systems Group	Estimated $97.8K - $124K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
38	Data Analyst, I, II or Sr.	Virginia Beach, VA 23452 (North Central area)	Southern Company	Estimated $83.5K - $106K a year	Maintain the data integrity in the business data and works with TO and the business to resolve issues.Leadership of an enterprise strategic data governance…
39	Senior Data Analyst	Norfolk, VA	Ironclad Technnology Services	Estimated $89.7K - $114K a year	Five years experience in data analysis for complex projects.Identify, develop, and implement formal processes for data/metric collection, analysis, and…
40	Technical PD Data Scientist Engineer	Fort Eustis, VA 23604+1 location	Yorktown Systems Group	Estimated $105K - $133K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
41	Data Science, Models & Simulations (DSMS) OE Mission Systems...	Fort Eustis, VA 23604	Yorktown Systems Group	Estimated $108K - $137K a year	Provide enterprise-level capabilities, processes and support (e.g. help desk; training; documentation; ITIL support; integration with Army Modeling & Simulation…
42	Jr. Data Scientist	Fort Eustis, VA 23604+1 location	Yorktown Systems Group	Estimated $92.4K - $117K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
43	Data Scientist	Norfolk, VA	Systems Planning and Analysis, Inc.	Estimated $84.8K - $107K a year	Experience with all steps of the data science lifecycle to include delivering data products to customers.Experience with data science and data science best…
44	Technical PD Data Scientist Engineer	Fort Eustis, VA 23604+1 location	Yorktown Systems Group	Estimated $104K - $132K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
45	Data Analyst, I, II or Sr.	Virginia Beach, VA 23452 (North Central area)	Southern Company	Estimated $87.3K - $111K a year	Maintain the data integrity in the business data and works with TO and the business to resolve issues.Leadership of an enterprise strategic data governance…
46	Senior Data Analyst	Norfolk, VA	Cydecor, Inc.	Estimated $92.6K - $117K a year	Five years experience in data analysis for complex projects.Identify, develop, and implement formal processes for data/metric collection, analysis, and…
47	Data Science, Models & Simulations (DSMS) OE Mission Systems...	Fort Eustis, VA 23604	Yorktown Systems Group	Estimated $100K - $127K a year	Provide enterprise-level capabilities, processes and support (e.g. help desk; training; documentation; ITIL support; integration with Army Modeling & Simulation…
48	Data Science Project Manager	Hampton Roads, VA	University Technical Services	Estimated $120K - $152K a year	Leverage operational experience and data science background to identify and translate data needs in support of the Intelligence, Surveillance Reconnaissance…
49	Kubernetes and Docker Cloud Developer	Remote in Norfolk, VA+1 location	Frontier Technology Inc.	Estimated $101K - $128K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
50	Junior Data Scientist	Hampton, VA	BTAS	Estimated $79.3K - $100K a year	Apply data to develop and provide analytical support to all levels of management.Create, develop, and/or apply existing tools and techniques to conduct data…
51	Data Scientist	Hampton, VA 23665 (Langley Air Force Base area)+1 location	TestPros	Estimated $115K - $145K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
52	SGA Technical - Big Data & Artificial Intelligence	Virginia Beach, VA 23462 (Pembroke area)	PEMCCO	Estimated $84.8K - $107K a year	Build data ingest and data transformation infrastructure.This position help build our Big Data and AI development and production infrastructure and set our…
53	Chief Data Scientist	Hampton, VA 23665 (Langley Air Force Base area)	TestPros	Estimated $126K - $160K a year	Demonstrate knowledge and ability to deal with challenging data problems such as data mining, feature definition and ML-based data cleaning.
54	Data Engineer, TRADOC G-2	Fort Eustis, VA 23604	Yorktown Systems Group	Estimated $106K - $134K a year	Hands-on experience with enterprise level data ingestion, data discovery & analysis, data cleansing, data transformation, data modelling, and data visualization…
55	Data Scientist	Hampton, VA 23665 (Langley Air Force Base area)	TestPros	Estimated $115K - $145K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
56	ACC/A2 - Intelligence Data Management Analyst	Langley AFB, VA 23665 (Langley Air Force Base area)	Apogee Engineering, LLC	Estimated $95.1K - $120K a year	Demonstrated “data wrangling” skills, such as data integration, preparation, and reshaping.Assist staff in formulating and articulating AF-level positions to…
